tweet_id,score,model_version,computed_at
1467810369,-1.0,sentiment140,2009-04-06 22:19:45
1467810672,-1.0,sentiment140,2009-04-06 22:19:49
1467810917,-1.0,sentiment140,2009-04-06 22:19:53
1467811184,-1.0,sentiment140,2009-04-06 22:19:57
1467811193,-1.0,sentiment140,2009-04-06 22:19:57
1467811372,-1.0,sentiment140,2009-04-06 22:20:00
1467811592,-1.0,sentiment140,2009-04-06 22:20:03
1467811594,-1.0,sentiment140,2009-04-06 22:20:03
1467811795,-1.0,sentiment140,2009-04-06 22:20:05
1467812025,-1.0,sentiment140,2009-04-06 22:20:09
1467812416,-1.0,sentiment140,2009-04-06 22:20:16
1467812579,-1.0,sentiment140,2009-04-06 22:20:17
1467812723,-1.0,sentiment140,2009-04-06 22:20:19
1467812771,-1.0,sentiment140,2009-04-06 22:20:19
1467812784,-1.0,sentiment140,2009-04-06 22:20:20
1467812799,-1.0,sentiment140,2009-04-06 22:20:20
1467812964,-1.0,sentiment140,2009-04-06 22:20:22
1467813137,-1.0,sentiment140,2009-04-06 22:20:25
1467813579,-1.0,sentiment140,2009-04-06 22:20:31
1467813782,-1.0,sentiment140,2009-04-06 22:20:34
1467813985,-1.0,sentiment140,2009-04-06 22:20:37
1467813992,-1.0,sentiment140,2009-04-06 22:20:38
1467814119,-1.0,sentiment140,2009-04-06 22:20:40
1467814180,-1.0,sentiment140,2009-04-06 22:20:40
1467814192,-1.0,sentiment140,2009-04-06 22:20:41
1467814438,-1.0,sentiment140,2009-04-06 22:20:44
1467814783,-1.0,sentiment140,2009-04-06 22:20:50
1467814883,-1.0,sentiment140,2009-04-06 22:20:52
1467815199,-1.0,sentiment140,2009-04-06 22:20:56
1467815753,-1.0,sentiment140,2009-04-06 22:21:04
1467815923,-1.0,sentiment140,2009-04-06 22:21:07
1467815924,-1.0,sentiment140,2009-04-06 22:21:07
1467815988,-1.0,sentiment140,2009-04-06 22:21:09
1467816149,-1.0,sentiment140,2009-04-06 22:21:11
1467816665,-1.0,sentiment140,2009-04-06 22:21:21
1467816749,-1.0,sentiment140,2009-04-06 22:21:20
1467817225,-1.0,sentiment140,2009-04-06 22:21:27
1467817374,-1.0,sentiment140,2009-04-06 22:21:30
1467817502,-1.0,sentiment140,2009-04-06 22:21:32
1467818007,-1.0,sentiment140,2009-04-06 22:21:39
1467818020,-1.0,sentiment140,2009-04-06 22:21:39
1467818481,-1.0,sentiment140,2009-04-06 22:21:46
1467818603,-1.0,sentiment140,2009-04-06 22:21:49
1467818900,-1.0,sentiment140,2009-04-06 22:21:53
1467819022,-1.0,sentiment140,2009-04-06 22:21:56
1467819650,-1.0,sentiment140,2009-04-06 22:22:05
1467819712,-1.0,sentiment140,2009-04-06 22:22:06
1467819812,-1.0,sentiment140,2009-04-06 22:22:07
1467820206,-1.0,sentiment140,2009-04-06 22:22:13
1467820835,-1.0,sentiment140,2009-04-06 22:22:25
1467820863,-1.0,sentiment140,2009-04-06 22:22:23
1467820906,-1.0,sentiment140,2009-04-06 22:22:24
1467821085,-1.0,sentiment140,2009-04-06 22:22:26
1467821338,-1.0,sentiment140,2009-04-06 22:22:30
1467821455,-1.0,sentiment140,2009-04-06 22:22:32
1467821715,-1.0,sentiment140,2009-04-06 22:22:37
1467822384,-1.0,sentiment140,2009-04-06 22:22:47
1467822389,-1.0,sentiment140,2009-04-06 22:22:47
1467822519,-1.0,sentiment140,2009-04-06 22:22:49
1467822522,-1.0,sentiment140,2009-04-06 22:22:49
1467822687,-1.0,sentiment140,2009-04-06 22:22:52
1467822918,-1.0,sentiment140,2009-04-06 22:22:55
1467823437,-1.0,sentiment140,2009-04-06 22:23:03
1467823770,-1.0,sentiment140,2009-04-06 22:23:08
1467823851,-1.0,sentiment140,2009-04-06 22:23:09
1467824199,-1.0,sentiment140,2009-04-06 22:23:15
1467824664,-1.0,sentiment140,2009-04-06 22:23:23
1467824967,-1.0,sentiment140,2009-04-06 22:23:28
1467825003,-1.0,sentiment140,2009-04-06 22:23:28
1467825084,-1.0,sentiment140,2009-04-06 22:23:30
1467825411,-1.0,sentiment140,2009-04-06 22:23:35
1467825642,-1.0,sentiment140,2009-04-06 22:23:39
1467825863,-1.0,sentiment140,2009-04-06 22:23:43
1467825883,-1.0,sentiment140,2009-04-06 22:23:43
1467826052,-1.0,sentiment140,2009-04-06 22:23:45
1467833672,-1.0,sentiment140,2009-04-06 22:25:44
1467833690,-1.0,sentiment140,2009-04-06 22:25:44
1467833736,-1.0,sentiment140,2009-04-06 22:25:45
1467833799,-1.0,sentiment140,2009-04-06 22:25:46
1467834001,-1.0,sentiment140,2009-04-06 22:25:49
1467834053,-1.0,sentiment140,2009-04-06 22:25:52
1467834227,-1.0,sentiment140,2009-04-06 22:25:53
